Year_Month,Max_wait_time,Total_units,Park_Fatalities_Previous_Year,Fraction of Not Rainy,Fraction of Rainy,Drought Count,Flooding Count,Freeze Count,Severe Storm Count,Tropical Cyclone Count,Wildfire Count,Winter Storm Count,All Disasters Count,Public_Holidays_in_Month,Spring,Summer,Autumn,Winter,Ongoing Disasters,Avg_no_parades,Average_attendee_seaworld,Attraction_Bumper Cars,Attraction_Bungee Jump,Attraction_Circus Train,Attraction_Crazy Bus,Attraction_Crazy Dance,Attraction_Dizzy Dropper,Attraction_Drop Tower,Attraction_Flying Coaster,Attraction_Free Fall,Attraction_Giant Wheel,Attraction_Giga Coaster,Attraction_Go-Karts,Attraction_Gondola,Attraction_Haunted House,Attraction_Himalaya Ride,Attraction_Inverted Coaster,Attraction_Kiddie Coaster,Attraction_Log Flume,Attraction_Merry Go Round,Attraction_Monorail,Attraction_Oz Theatre,Attraction_Pirate Ship,Attraction_Power Tower,Attraction_Rapids Ride,Attraction_Reverse Bungee,Attraction_Roller Coaster,Attraction_Scooby Doo,Attraction_Skyway,Attraction_Sling Shot,Attraction_Spinning Coaster,Attraction_Spiral Slide,Attraction_Superman Ride,Attraction_Swing Ride,Attraction_Tilt-A-Whirl,Attraction_Top Spin,Attraction_Vertical Drop,Attraction_Water Ride,Attraction_Zipline
2018-01,80,33908.6666,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,25,31192.0,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,300,6836.7335,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,10,1736.0,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,95,6859.6004,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,10,1736.0,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,20,149143.2001,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,45,27587.7334,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,80,33062.9334,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,150,4441.4003,2,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25,2,0,0,0,1,0,2.0,382833.3333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
